[1.865] reset_hw_wtchpt_module():  Hardware watchpoint supported by the target 
[1.871] createFlashParams():  STM32 device: Flash size =65535
[1.976] STM32_AppReset():  Enter STM32_AppReset() function 
[2.082] STM32_AppReset():  NVIC_DFSR_REG = 0x00000009
[2.082] STM32_AppReset():  NVIC_CFGFSR_REG = 0x00000000
[2.083] STM32_AppReset():  XPSR = 0x01000000
[2.083] Device_Initialise():  ST_LINK Major version =2 Jtag version =27
[2.083] Device_Initialise():  ST_LINK VID=1155 PID=14155
[2.083] Device_Initialise():  ST_LINK device status: HALT_MODE
[2.084] Device_Initialise():  ST_LINK detects target voltage =3.27 Volt
[2.084] initServerContext():  ST-Link device initialization OK
[2.085] WaitConnection():  Waiting for connection on port 61234...
[2.535] WaitConnection():  Accepted connection on port 61234...
[2.536] Device_GetStatus():  ST_LINK device status: HALT_MODE
[2.655] handlePacket():  Reading 0x4 bytes of memory from addr 0x8002c8c 
[2.657] handlePacket():  Reading 0x4 bytes of memory from addr 0x2000402c 
[2.658] handlePacket():  Reading 0x4 bytes of memory from addr 0x2000402c 
[2.684] handlePacket():  Reading 0x2 bytes of memory from addr 0x80027da 
[2.685] handlePacket():  Reading 0x2 bytes of memory from addr 0x80027da 
[2.699] handleFlashPacket():  Flash erase: Address= 0x8000000, Length=12288 
[2.699] flash_page_erase():  FuncEntry
[2.699] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.700] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.702] wait_while_flash_busy_bank1():  FuncEntry
[2.702] wait_while_flash_busy_bank1():  Flash status busy
[2.702] wait_while_flash_busy_bank1():  Flash status busy
[2.703] wait_while_flash_busy_bank1():  Flash status busy
[2.703] wait_while_flash_busy_bank1():  Flash status busy
[2.704] wait_while_flash_busy_bank1():  Flash status busy
[2.704] wait_while_flash_busy_bank1():  Flash status busy
[2.705] wait_while_flash_busy_bank1():  Flash status busy
[2.705] wait_while_flash_busy_bank1():  Flash status busy
[2.705] wait_while_flash_busy_bank1():  Flash status busy
[2.706] wait_while_flash_busy_bank1():  Flash status busy
[2.706] wait_while_flash_busy_bank1():  Flash status busy
[2.706] wait_while_flash_busy_bank1():  Flash status busy
[2.707] wait_while_flash_busy_bank1():  Flash status busy
[2.707] wait_while_flash_busy_bank1():  Flash status busy
[2.708] wait_while_flash_busy_bank1():  Flash status busy
[2.708] wait_while_flash_busy_bank1():  Flash status busy
[2.708] wait_while_flash_busy_bank1():  Flash status busy
[2.709] wait_while_flash_busy_bank1():  Flash status busy
[2.709] wait_while_flash_busy_bank1():  Flash status busy
[2.709] wait_while_flash_busy_bank1():  Flash status busy
[2.710] wait_while_flash_busy_bank1():  Flash status busy
[2.710] wait_while_flash_busy_bank1():  Flash status busy
[2.711] wait_while_flash_busy_bank1():  Flash status busy
[2.711] wait_while_flash_busy_bank1():  Flash status busy
[2.711] wait_while_flash_busy_bank1():  Flash status busy
[2.712] wait_while_flash_busy_bank1():  Flash status busy
[2.712] wait_while_flash_busy_bank1():  Flash status busy
[2.713] wait_while_flash_busy_bank1():  Flash status busy
[2.713] wait_while_flash_busy_bank1():  Flash status busy
[2.713] wait_while_flash_busy_bank1():  Flash status busy
[2.714] wait_while_flash_busy_bank1():  Flash status busy
[2.714] wait_while_flash_busy_bank1():  Flash status busy
[2.715] wait_while_flash_busy_bank1():  Flash status busy
[2.715] wait_while_flash_busy_bank1():  Flash status busy
[2.716] wait_while_flash_busy_bank1():  Flash status busy
[2.716] wait_while_flash_busy_bank1():  Flash status busy
[2.716] wait_while_flash_busy_bank1():  Flash status busy
[2.717] wait_while_flash_busy_bank1():  Flash status busy
[2.717] wait_while_flash_busy_bank1():  Flash status busy
[2.718] wait_while_flash_busy_bank1():  Flash status busy
[2.718] wait_while_flash_busy_bank1():  Flash status busy
[2.718] wait_while_flash_busy_bank1():  Flash status busy
[2.719] wait_while_flash_busy_bank1():  Flash status busy
[2.719] wait_while_flash_busy_bank1():  Flash status busy
[2.720] wait_while_flash_busy_bank1():  Flash status busy
[2.720] wait_while_flash_busy_bank1():  Flash status busy
[2.720] wait_while_flash_busy_bank1():  Flash status busy
[2.721] wait_while_flash_busy_bank1():  Flash status busy
[2.721] wait_while_flash_busy_bank1():  Flash status busy
[2.722] wait_while_flash_busy_bank1():  Flash status busy
[2.722] wait_while_flash_busy_bank1():  Flash status busy
[2.722] wait_while_flash_busy_bank1():  Flash status busy
[2.723] wait_while_flash_busy_bank1():  Flash status busy
[2.723] wait_while_flash_busy_bank1():  Flash status busy
[2.723] wait_while_flash_busy_bank1():  Flash status busy
[2.724] wait_while_flash_busy_bank1():  FuncExit
[2.724] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.725] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.725] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.726] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.727] wait_while_flash_busy_bank1():  FuncEntry
[2.728] wait_while_flash_busy_bank1():  Flash status busy
[2.728] wait_while_flash_busy_bank1():  Flash status busy
[2.729] wait_while_flash_busy_bank1():  Flash status busy
[2.729] wait_while_flash_busy_bank1():  Flash status busy
[2.729] wait_while_flash_busy_bank1():  Flash status busy
[2.730] wait_while_flash_busy_bank1():  Flash status busy
[2.730] wait_while_flash_busy_bank1():  Flash status busy
[2.730] wait_while_flash_busy_bank1():  Flash status busy
[2.731] wait_while_flash_busy_bank1():  Flash status busy
[2.731] wait_while_flash_busy_bank1():  Flash status busy
[2.731] wait_while_flash_busy_bank1():  Flash status busy
[2.732] wait_while_flash_busy_bank1():  Flash status busy
[2.732] wait_while_flash_busy_bank1():  Flash status busy
[2.733] wait_while_flash_busy_bank1():  Flash status busy
[2.733] wait_while_flash_busy_bank1():  Flash status busy
[2.733] wait_while_flash_busy_bank1():  Flash status busy
[2.734] wait_while_flash_busy_bank1():  Flash status busy
[2.734] wait_while_flash_busy_bank1():  Flash status busy
[2.734] wait_while_flash_busy_bank1():  Flash status busy
[2.735] wait_while_flash_busy_bank1():  Flash status busy
